Úlfur Örn Björnsson,2811002110,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Co Pilot,
Silja Dögg,2001002111,Akrasel 19,1234567,6983434,siljadh@gmail.com,Boeing 767,Captain, 
Bjarki,2811002112,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Attendant,
Áki,2811002113,bærinn 35,5822828,6627880,akitin.com,Boeing 757,Attendant,
Hlín,2811002114,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Super Attendant,
Björn,2811002115,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Attendant,
Árna,2811002116,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Co Pilot,
Bjarni,2811002117,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Co Pilot,
Rán,2811002118,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Super Attendant,
Birkir,2811002119,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Attendant,
Hildur,2811002121,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Captain,
Breki,2811002122,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Co Pilot,
Bjárn,2811002123,Heiðargerði 21,5822828,6627880,ulfurinn@gmail.com,Boeing 757,Co Pilot,
Bilbo,1234567,Shire 123,1234567,7654321,bilbo@shire.com,Boeing 767,Captain,
Kristófer,1230003450,Egilstaðir,1234567,7654321,gmail.com,Boeing 747,Captain,
Richard,123453,Keflavík,3523252,,richard@gmail.com,Boeing 757,Captain,
